"NAME","Year","Value"
"Highland","2013",125679
"Inverclyde","2013",29183
"Midlothian","2013",40177
"Moray","2013",47533
"Na h-Eileanan Siar","2013",12738
"North Ayrshire","2013",61910
"North Lanarkshire","2013",152725
"Orkney Islands","2013",9923
"Perth and Kinross","2013",74267
"Renfrewshire","2013",78417
"Scottish Borders","2013",51242
"Shetland Islands","2013",10140
"South Ayrshire","2013",55423
"South Lanarkshire","2013",144734
"Stirling","2013",39923
"West Dunbartonshire","2013",36206
"West Lothian","2013",70473
"Aberdeen City","2014",96130
"Aberdeenshire","2014",131389
"Angus","2014",58892
"Argyll and Bute","2014",52359
"City of Edinburgh","2014",189525
"Clackmannanshire","2014",26786
"Dumfries and Galloway","2014",76454
"Dundee City","2014",63738
"East Ayrshire","2014",56392
"East Dunbartonshire","2014",52897
"East Lothian","2014",52660
"East Renfrewshire","2014",46224
"Falkirk","2014",73620
"Fife","2014",188212
"Glasgow City","2014",224488
"Highland","2014",131228
"Inverclyde","2014",28456
"Midlothian","2014",40726
"Moray","2014",50902
"Na h-Eileanan Siar","2014",13479
"North Ayrshire","2014",65065
"North Lanarkshire","2014",150309
"Orkney Islands","2014",10568
"Perth and Kinross","2014",74949
"Renfrewshire","2014",80858
"Scottish Borders","2014",49952
"Shetland Islands","2014",9942
"South Ayrshire","2014",55477
"South Lanarkshire","2014",153492
"Stirling","2014",40555
"West Dunbartonshire","2014",40338
"West Lothian","2014",73498
"Aberdeen City","2015",95241
"Aberdeenshire","2015",130249
"Angus","2015",57609
"Argyll and Bute","2015",51847
"City of Edinburgh","2015",189574
"Clackmannanshire","2015",26621
"Dumfries and Galloway","2015",74092
"Dundee City","2015",67182
"East Ayrshire","2015",56374
"East Dunbartonshire","2015",54191
"East Lothian","2015",50906
"East Renfrewshire","2015",46880
"Falkirk","2015",72329
"Fife","2015",191153
"Glasgow City","2015",221902
"Highland","2015",130780
"Inverclyde","2015",28493
"Midlothian","2015",42077
"Moray","2015",50116
"Na h-Eileanan Siar","2015",14013
"North Ayrshire","2015",64193
"North Lanarkshire","2015",155937
"Orkney Islands","2015",9371
"Perth and Kinross","2015",76187
"Renfrewshire","2015",83059
"Scottish Borders","2015",49848
"Shetland Islands","2015",10250
"South Ayrshire","2015",55653
"South Lanarkshire","2015",151656
"Stirling","2015",41929
"West Dunbartonshire","2015",45088
"West Lothian","2015",73982
"Aberdeen City","2016",96123
"Aberdeenshire","2016",131863
"Angus","2016",58847
"Argyll and Bute","2016",53689
"City of Edinburgh","2016",193333
"Clackmannanshire","2016",27091
"Dumfries and Galloway","2016",79807
"Dundee City","2016",67998
"East Ayrshire","2016",56434
"East Dunbartonshire","2016",55852
"East Lothian","2016",50874
"East Renfrewshire","2016",47724
"Falkirk","2016",71783
"Fife","2016",187746
"Glasgow City","2016",216873
"Highland","2016",130959
"Inverclyde","2016",29363
"Midlothian","2016",42637
"Moray","2016",51950
"Na h-Eileanan Siar","2016",14959
"North Ayrshire","2016",63838
"North Lanarkshire","2016",160914
"Orkney Islands","2016",10349
"Perth and Kinross","2016",78730
"Renfrewshire","2016",83661
"Scottish Borders","2016",51921
"Shetland Islands","2016",9996
"South Ayrshire","2016",56485
"South Lanarkshire","2016",152535
"Stirling","2016",44271
"West Dunbartonshire","2016",44936
"West Lothian","2016",75438
"Aberdeen City","2017",87786
"Aberdeenshire","2017",127632
"Angus","2017",56278
"Argyll and Bute","2017",50437
"City of Edinburgh","2017",200720
"Clackmannanshire","2017",27201
"Dumfries and Galloway","2017",76289
"Dundee City","2017",64347
"East Ayrshire","2017",55842
"East Dunbartonshire","2017",56445
"East Lothian","2017",50612
"East Renfrewshire","2017",47564
"Falkirk","2017",74651
"Fife","2017",178478
"Glasgow City","2017",224524
"Highland","2017",130190
"Inverclyde","2017",27565
"Midlothian","2017",42725
"Moray","2017",51090
"Na h-Eileanan Siar","2017",14453
"North Ayrshire","2017",62954
"North Lanarkshire","2017",156813
"Orkney Islands","2017",10798
"Perth and Kinross","2017",74789
"Renfrewshire","2017",83526
"Scottish Borders","2017",53471
"Shetland Islands","2017",9754
"South Ayrshire","2017",56772
"South Lanarkshire","2017",151740
"Stirling","2017",40774
"West Dunbartonshire","2017",43551
"West Lothian","2017",71051
"Aberdeen City","2018",85540
"Aberdeenshire","2018",120519
"Angus","2018",54619
"Argyll and Bute","2018",47972
"City of Edinburgh","2018",193341
"Clackmannanshire","2018",26122
"Dumfries and Galloway","2018",79325
"Dundee City","2018",60773
"East Ayrshire","2018",53148
"East Dunbartonshire","2018",51643
"East Lothian","2018",50134
"East Renfrewshire","2018",43927
"Falkirk","2018",68571
"Fife","2018",167353
"Glasgow City","2018",245318
"Highland","2018",127880
"Inverclyde","2018",28027
"Midlothian","2018",41890
"Moray","2018",47522
"Na h-Eileanan Siar","2018",14325
"North Ayrshire","2018",61421
"North Lanarkshire","2018",146175
"Orkney Islands","2018",10221
"Perth and Kinross","2018",71815
"Renfrewshire","2018",81255
"Scottish Borders","2018",52491
"Shetland Islands","2018",9649
"South Ayrshire","2018",55814
"South Lanarkshire","2018",150470
"Stirling","2018",41925
"West Dunbartonshire","2018",41867
"West Lothian","2018",74194
"Aberdeen City","2019",84643
"Aberdeenshire","2019",122830
"Angus","2019",52541
"Argyll and Bute","2019",46901
"City of Edinburgh","2019",192070
"Clackmannanshire","2019",25473
"Dumfries and Galloway","2019",76786
"Dundee City","2019",65259
"East Ayrshire","2019",55097
"East Dunbartonshire","2019",52692
"East Lothian","2019",49979
"East Renfrewshire","2019",48609
"Falkirk","2019",70032
"Fife","2019",174977
"Glasgow City","2019",252148
"Highland","2019",124689
"Inverclyde","2019",27698
"Midlothian","2019",40610
"Moray","2019",47186
"Na h-Eileanan Siar","2019",13710
"North Ayrshire","2019",60322
"North Lanarkshire","2019",149977
"Orkney Islands","2019",10428
"Perth and Kinross","2019",74293
"Renfrewshire","2019",81461
"Scottish Borders","2019",52300
"Shetland Islands","2019",9648
"South Ayrshire","2019",52639
"South Lanarkshire","2019",146941
"Stirling","2019",42504
"West Dunbartonshire","2019",39905
"West Lothian","2019",77444
"Aberdeen City","2020",95919
"Aberdeenshire","2020",114951
"Angus","2020",52166
"Argyll and Bute","2020",42567
"City of Edinburgh","2020",201202
"Clackmannanshire","2020",23221
"Dumfries and Galloway","2020",65039
"Dundee City","2020",63609
"East Ayrshire","2020",52305
"East Dunbartonshire","2020",54573
"East Lothian","2020",51755
"East Renfrewshire","2020",44360
"Falkirk","2020",77069
"Fife","2020",156151
"Glasgow City","2020",265910
"Highland","2020",109109
"Inverclyde","2020",29009
"Midlothian","2020",42153
"Moray","2020",41520
"Na h-Eileanan Siar","2020",13146
"North Ayrshire","2020",61773
"North Lanarkshire","2020",156611
"Orkney Islands","2020",8481
"Perth and Kinross","2020",77535
"Renfrewshire","2020",84011
"Scottish Borders","2020",50716
"Shetland Islands","2020",9087
"South Ayrshire","2020",56376
"South Lanarkshire","2020",153658
"Stirling","2020",44505
"West Dunbartonshire","2020",44352
"West Lothian","2020",86217
