Destination,Year,Sector,Value
EU,2002,Financial and Insurance,520
EU,2003,Financial and Insurance,450
EU,2004,Financial and Insurance,330
EU,2005,Financial and Insurance,430
EU,2006,Financial and Insurance,405
EU,2007,Financial and Insurance,195
EU,2008,Financial and Insurance,305
EU,2009,Financial and Insurance,475
EU,2010,Financial and Insurance,250
EU,2011,Financial and Insurance,735
EU,2012,Financial and Insurance,350
EU,2013,Financial and Insurance,345
EU,2014,Financial and Insurance,220
EU,2015,Financial and Insurance,470
EU,2016,Financial and Insurance,425
EU,2017,Financial and Insurance,750
EU,2018,Financial and Insurance,830
EU,2002,"Food Products, Beverages and Tobacco Products",1250
EU,2003,"Food Products, Beverages and Tobacco Products",1350
EU,2004,"Food Products, Beverages and Tobacco Products",1340
EU,2005,"Food Products, Beverages and Tobacco Products",1240
EU,2006,"Food Products, Beverages and Tobacco Products",1270
EU,2007,"Food Products, Beverages and Tobacco Products",1575
EU,2008,"Food Products, Beverages and Tobacco Products",1775
EU,2009,"Food Products, Beverages and Tobacco Products",1870
EU,2010,"Food Products, Beverages and Tobacco Products",1960
EU,2011,"Food Products, Beverages and Tobacco Products",2160
EU,2012,"Food Products, Beverages and Tobacco Products",2100
EU,2013,"Food Products, Beverages and Tobacco Products",2110
EU,2014,"Food Products, Beverages and Tobacco Products",2060
EU,2015,"Food Products, Beverages and Tobacco Products",2030
EU,2016,"Food Products, Beverages and Tobacco Products",2055
EU,2017,"Food Products, Beverages and Tobacco Products",2245
EU,2018,"Food Products, Beverages and Tobacco Products",2325
EU,2002,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",205
EU,2003,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",125
EU,2004,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",130
EU,2005,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",135
EU,2006,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",135
EU,2007,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",130
EU,2008,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",150
EU,2009,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",165
EU,2010,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",140
EU,2011,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",160
EU,2012,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",230
EU,2013,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",190
EU,2014,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",180
EU,2015,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",185
EU,2016,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",190
EU,2017,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",225
EU,2018,"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment",205
EU,2002,Information and Communication,125
EU,2003,Information and Communication,135
EU,2004,Information and Communication,130
EU,2005,Information and Communication,205
EU,2006,Information and Communication,165
EU,2007,Information and Communication,155
EU,2008,Information and Communication,205
EU,2009,Information and Communication,190
EU,2010,Information and Communication,240
EU,2011,Information and Communication,230
EU,2012,Information and Communication,280
EU,2013,Information and Communication,160
EU,2014,Information and Communication,245
EU,2015,Information and Communication,305
EU,2016,Information and Communication,320
EU,2017,Information and Communication,465
EU,2018,Information and Communication,385
EU,2002,Machinery and Equipment N.E.C.,255
EU,2003,Machinery and Equipment N.E.C.,390
EU,2004,Machinery and Equipment N.E.C.,265
EU,2005,Machinery and Equipment N.E.C.,280
EU,2006,Machinery and Equipment N.E.C.,385
EU,2007,Machinery and Equipment N.E.C.,445
EU,2008,Machinery and Equipment N.E.C.,450
EU,2009,Machinery and Equipment N.E.C.,455
EU,2010,Machinery and Equipment N.E.C.,330
EU,2011,Machinery and Equipment N.E.C.,505
EU,2012,Machinery and Equipment N.E.C.,470
EU,2013,Machinery and Equipment N.E.C.,505
EU,2014,Machinery and Equipment N.E.C.,610
EU,2015,Machinery and Equipment N.E.C.,615
EU,2016,Machinery and Equipment N.E.C.,635
EU,2017,Machinery and Equipment N.E.C.,605
EU,2018,Machinery and Equipment N.E.C.,695
EU,2002,Mining & Quarrying,100
EU,2003,Mining & Quarrying,105
EU,2004,Mining & Quarrying,130
EU,2005,Mining & Quarrying,150
EU,2006,Mining & Quarrying,150
EU,2007,Mining & Quarrying,210
EU,2008,Mining & Quarrying,145
EU,2009,Mining & Quarrying,245
EU,2010,Mining & Quarrying,285
EU,2011,Mining & Quarrying,460
EU,2012,Mining & Quarrying,425
EU,2013,Mining & Quarrying,430
EU,2014,Mining & Quarrying,570
EU,2015,Mining & Quarrying,640
EU,2016,Mining & Quarrying,505
EU,2017,Mining & Quarrying,485
EU,2018,Mining & Quarrying,590
EU,2002,Other Services,80
EU,2003,Other Services,90
EU,2004,Other Services,80
EU,2005,Other Services,50
EU,2006,Other Services,40
EU,2007,Other Services,55
EU,2008,Other Services,65
EU,2009,Other Services,95
EU,2010,Other Services,75
EU,2011,Other Services,55
EU,2012,Other Services,70
EU,2013,Other Services,110
EU,2014,Other Services,85
EU,2015,Other Services,40
EU,2016,Other Services,55
EU,2017,Other Services,80
EU,2018,Other Services,60
EU,2002,"Professional, Scientific & Technical",605
EU,2003,"Professional, Scientific & Technical",595
EU,2004,"Professional, Scientific & Technical",445
EU,2005,"Professional, Scientific & Technical",540
EU,2006,"Professional, Scientific & Technical",480
EU,2007,"Professional, Scientific & Technical",645
EU,2008,"Professional, Scientific & Technical",705
EU,2009,"Professional, Scientific & Technical",810
EU,2010,"Professional, Scientific & Technical",955
EU,2011,"Professional, Scientific & Technical",1005
EU,2012,"Professional, Scientific & Technical",1185
EU,2013,"Professional, Scientific & Technical",1445
EU,2014,"Professional, Scientific & Technical",1235
EU,2015,"Professional, Scientific & Technical",1120
EU,2016,"Professional, Scientific & Technical",1110
EU,2017,"Professional, Scientific & Technical",1180
EU,2018,"Professional, Scientific & Technical",1155
EU,2002,Real Estate Activities,10
EU,2003,Real Estate Activities,35
EU,2004,Real Estate Activities,15
EU,2005,Real Estate Activities,15
EU,2006,Real Estate Activities,10
EU,2007,Real Estate Activities,20
EU,2008,Real Estate Activities,25
EU,2009,Real Estate Activities,30
EU,2010,Real Estate Activities,25
EU,2011,Real Estate Activities,20
EU,2012,Real Estate Activities,20
EU,2013,Real Estate Activities,30
EU,2014,Real Estate Activities,40
EU,2015,Real Estate Activities,30
EU,2016,Real Estate Activities,20
EU,2017,Real Estate Activities,15
EU,2018,Real Estate Activities,25
EU,2002,"Rubber, Plastic and Other Non-Metallic Mineral Products",305
EU,2003,"Rubber, Plastic and Other Non-Metallic Mineral Products",320
EU,2004,"Rubber, Plastic and Other Non-Metallic Mineral Products",325
EU,2005,"Rubber, Plastic and Other Non-Metallic Mineral Products",320
EU,2006,"Rubber, Plastic and Other Non-Metallic Mineral Products",340
EU,2007,"Rubber, Plastic and Other Non-Metallic Mineral Products",375
EU,2008,"Rubber, Plastic and Other Non-Metallic Mineral Products",380
EU,2009,"Rubber, Plastic and Other Non-Metallic Mineral Products",355
EU,2010,"Rubber, Plastic and Other Non-Metallic Mineral Products",400
EU,2011,"Rubber, Plastic and Other Non-Metallic Mineral Products",505
EU,2012,"Rubber, Plastic and Other Non-Metallic Mineral Products",565
EU,2013,"Rubber, Plastic and Other Non-Metallic Mineral Products",580
EU,2014,"Rubber, Plastic and Other Non-Metallic Mineral Products",580
EU,2015,"Rubber, Plastic and Other Non-Metallic Mineral Products",505
EU,2016,"Rubber, Plastic and Other Non-Metallic Mineral Products",530
EU,2017,"Rubber, Plastic and Other Non-Metallic Mineral Products",545
EU,2018,"Rubber, Plastic and Other Non-Metallic Mineral Products",570
EU,2002,"Textiles, Wearing Apparel and Leather",230
EU,2003,"Textiles, Wearing Apparel and Leather",210
EU,2004,"Textiles, Wearing Apparel and Leather",240
EU,2005,"Textiles, Wearing Apparel and Leather",240
EU,2006,"Textiles, Wearing Apparel and Leather",250
EU,2007,"Textiles, Wearing Apparel and Leather",215
EU,2008,"Textiles, Wearing Apparel and Leather",215
EU,2009,"Textiles, Wearing Apparel and Leather",190
EU,2010,"Textiles, Wearing Apparel and Leather",180
EU,2011,"Textiles, Wearing Apparel and Leather",215
EU,2012,"Textiles, Wearing Apparel and Leather",220
EU,2013,"Textiles, Wearing Apparel and Leather",215
EU,2014,"Textiles, Wearing Apparel and Leather",205
EU,2015,"Textiles, Wearing Apparel and Leather",220
EU,2016,"Textiles, Wearing Apparel and Leather",205
EU,2017,"Textiles, Wearing Apparel and Leather",205
EU,2018,"Textiles, Wearing Apparel and Leather",230
EU,2002,Total,11520
EU,2003,Total,10705
EU,2004,Total,9820
EU,2005,Total,9080
EU,2006,Total,9615
EU,2007,Total,9920
EU,2008,Total,11140
EU,2009,Total,10870
EU,2010,Total,10890
EU,2011,Total,13370
EU,2012,Total,12810
EU,2013,Total,13370
EU,2014,Total,12350
EU,2015,Total,13195
EU,2016,Total,13505
EU,2017,Total,15455
EU,2018,Total,16150
EU,2002,Total Manufacturing,8670
EU,2003,Total Manufacturing,7915
EU,2004,Total Manufacturing,7170
EU,2005,Total Manufacturing,6140
EU,2006,Total Manufacturing,6505
EU,2007,Total Manufacturing,6660
EU,2008,Total Manufacturing,7545
EU,2009,Total Manufacturing,6800
EU,2010,Total Manufacturing,6930
EU,2011,Total Manufacturing,8375
EU,2012,Total Manufacturing,7735
EU,2013,Total Manufacturing,8045
EU,2014,Total Manufacturing,7050
EU,2015,Total Manufacturing,7740
EU,2016,Total Manufacturing,8025
EU,2017,Total Manufacturing,9370
EU,2018,Total Manufacturing,9885
EU,2002,Total Services,2530
EU,2003,Total Services,2490
EU,2004,Total Services,2300
EU,2005,Total Services,2530
EU,2006,Total Services,2720
EU,2007,Total Services,2760
EU,2008,Total Services,3105
EU,2009,Total Services,3405
EU,2010,Total Services,3280
EU,2011,Total Services,4145
EU,2012,Total Services,4205
EU,2013,Total Services,4470
EU,2014,Total Services,4265
EU,2015,Total Services,4390
EU,2016,Total Services,4550
EU,2017,Total Services,5090
EU,2018,Total Services,5075
EU,2002,Transport Equipment,115
EU,2003,Transport Equipment,110
EU,2004,Transport Equipment,110
EU,2005,Transport Equipment,145
EU,2006,Transport Equipment,200
EU,2007,Transport Equipment,175
EU,2008,Transport Equipment,255
EU,2009,Transport Equipment,195
EU,2010,Transport Equipment,245
EU,2011,Transport Equipment,155
EU,2012,Transport Equipment,155
EU,2013,Transport Equipment,185
EU,2014,Transport Equipment,190
EU,2015,Transport Equipment,210
EU,2016,Transport Equipment,255
EU,2017,Transport Equipment,340
EU,2018,Transport Equipment,290
EU,2002,Transportation and Storage,295
EU,2003,Transportation and Storage,325
EU,2004,Transportation and Storage,375
EU,2005,Transportation and Storage,275
EU,2006,Transportation and Storage,365
EU,2007,Transportation and Storage,270
EU,2008,Transportation and Storage,355
EU,2009,Transportation and Storage,450
EU,2010,Transportation and Storage,370
EU,2011,Transportation and Storage,530
EU,2012,Transportation and Storage,445
EU,2013,Transportation and Storage,550
EU,2014,Transportation and Storage,590
EU,2015,Transportation and Storage,625
EU,2016,Transportation and Storage,730
EU,2017,Transportation and Storage,765
EU,2018,Transportation and Storage,725
EU,2002,Utilities,80
EU,2003,Utilities,65
EU,2004,Utilities,70
EU,2005,Utilities,80
EU,2006,Utilities,100
EU,2007,Utilities,105
EU,2008,Utilities,150
EU,2009,Utilities,215
EU,2010,Utilities,175
EU,2011,Utilities,195
EU,2012,Utilities,265
EU,2013,Utilities,235
EU,2014,Utilities,220
EU,2015,Utilities,165
EU,2016,Utilities,135
EU,2017,Utilities,120
EU,2018,Utilities,155
EU,2002,"Wholesale, Retail and Repairs",650
EU,2003,"Wholesale, Retail and Repairs",600
EU,2004,"Wholesale, Retail and Repairs",645
EU,2005,"Wholesale, Retail and Repairs",645
EU,2006,"Wholesale, Retail and Repairs",825
EU,2007,"Wholesale, Retail and Repairs",950
EU,2008,"Wholesale, Retail and Repairs",960
EU,2009,"Wholesale, Retail and Repairs",860
EU,2010,"Wholesale, Retail and Repairs",840
EU,2011,"Wholesale, Retail and Repairs",1040
EU,2012,"Wholesale, Retail and Repairs",1195
EU,2013,"Wholesale, Retail and Repairs",975
EU,2014,"Wholesale, Retail and Repairs",960
EU,2015,"Wholesale, Retail and Repairs",1060
EU,2016,"Wholesale, Retail and Repairs",1175
EU,2017,"Wholesale, Retail and Repairs",1145
EU,2018,"Wholesale, Retail and Repairs",1160
EU,2002,"Wood and Paper Products, and Printing",210
EU,2003,"Wood and Paper Products, and Printing",240
EU,2004,"Wood and Paper Products, and Printing",250
EU,2005,"Wood and Paper Products, and Printing",255
EU,2006,"Wood and Paper Products, and Printing",220
EU,2007,"Wood and Paper Products, and Printing",210
EU,2008,"Wood and Paper Products, and Printing",220
EU,2009,"Wood and Paper Products, and Printing",200
EU,2010,"Wood and Paper Products, and Printing",200
EU,2011,"Wood and Paper Products, and Printing",230
EU,2012,"Wood and Paper Products, and Printing",205
EU,2013,"Wood and Paper Products, and Printing",205
EU,2014,"Wood and Paper Products, and Printing",205
EU,2015,"Wood and Paper Products, and Printing",320
EU,2016,"Wood and Paper Products, and Printing",280
EU,2017,"Wood and Paper Products, and Printing",205
EU,2018,"Wood and Paper Products, and Printing",220
International,2002,Accommodation and Food Services,180
International,2003,Accommodation and Food Services,285
International,2004,Accommodation and Food Services,275
International,2005,Accommodation and Food Services,300
International,2006,Accommodation and Food Services,330
International,2007,Accommodation and Food Services,265
International,2008,Accommodation and Food Services,275
International,2009,Accommodation and Food Services,260
International,2010,Accommodation and Food Services,270
International,2011,Accommodation and Food Services,280
International,2012,Accommodation and Food Services,285
International,2013,Accommodation and Food Services,315
International,2014,Accommodation and Food Services,415
International,2015,Accommodation and Food Services,370
International,2016,Accommodation and Food Services,310
International,2017,Accommodation and Food Services,320
International,2018,Accommodation and Food Services,395
International,2002,Administrative and Support Services,340
International,2003,Administrative and Support Services,300
International,2004,Administrative and Support Services,325
International,2005,Administrative and Support Services,380
International,2006,Administrative and Support Services,550
International,2007,Administrative and Support Services,690
International,2008,Administrative and Support Services,760
International,2009,Administrative and Support Services,735
International,2010,Administrative and Support Services,595
International,2011,Administrative and Support Services,710
International,2012,Administrative and Support Services,995
International,2013,Administrative and Support Services,1245
International,2014,Administrative and Support Services,1280
International,2015,Administrative and Support Services,960
International,2016,Administrative and Support Services,800
International,2017,Administrative and Support Services,700
International,2018,Administrative and Support Services,730
International,2002,"Agriculture, Forestry and Fishing",175
International,2003,"Agriculture, Forestry and Fishing",150
International,2004,"Agriculture, Forestry and Fishing",205
International,2005,"Agriculture, Forestry and Fishing",220
International,2006,"Agriculture, Forestry and Fishing",185
International,2007,"Agriculture, Forestry and Fishing",180
International,2008,"Agriculture, Forestry and Fishing",200
International,2009,"Agriculture, Forestry and Fishing",275
International,2010,"Agriculture, Forestry and Fishing",255
International,2011,"Agriculture, Forestry and Fishing",290
International,2012,"Agriculture, Forestry and Fishing",280
International,2013,"Agriculture, Forestry and Fishing",270
International,2014,"Agriculture, Forestry and Fishing",370
International,2015,"Agriculture, Forestry and Fishing",365
International,2016,"Agriculture, Forestry and Fishing",385
International,2017,"Agriculture, Forestry and Fishing",550
International,2018,"Agriculture, Forestry and Fishing",650
International,2002,"Basic Metals and Fabricated Metal Products, Except Machinery",500
International,2003,"Basic Metals and Fabricated Metal Products, Except Machinery",450
International,2004,"Basic Metals and Fabricated Metal Products, Except Machinery",475
International,2005,"Basic Metals and Fabricated Metal Products, Except Machinery",535
International,2006,"Basic Metals and Fabricated Metal Products, Except Machinery",675
International,2007,"Basic Metals and Fabricated Metal Products, Except Machinery",740
International,2008,"Basic Metals and Fabricated Metal Products, Except Machinery",800
International,2009,"Basic Metals and Fabricated Metal Products, Except Machinery",735
International,2010,"Basic Metals and Fabricated Metal Products, Except Machinery",745
International,2011,"Basic Metals and Fabricated Metal Products, Except Machinery",655
International,2012,"Basic Metals and Fabricated Metal Products, Except Machinery",615
International,2013,"Basic Metals and Fabricated Metal Products, Except Machinery",715
International,2014,"Basic Metals and Fabricated Metal Products, Except Machinery",665
International,2015,"Basic Metals and Fabricated Metal Products, Except Machinery",1040
International,2016,"Basic Metals and Fabricated Metal Products, Except Machinery",1055
International,2017,"Basic Metals and Fabricated Metal Products, Except Machinery",910
International,2018,"Basic Metals and Fabricated Metal Products, Except Machinery",765
International,2002,Basic Pharmaceuticals and Their Products,305
International,2003,Basic Pharmaceuticals and Their Products,370
International,2004,Basic Pharmaceuticals and Their Products,295
International,2005,Basic Pharmaceuticals and Their Products,275
International,2006,Basic Pharmaceuticals and Their Products,235
International,2007,Basic Pharmaceuticals and Their Products,260
International,2008,Basic Pharmaceuticals and Their Products,400
International,2009,Basic Pharmaceuticals and Their Products,315
International,2010,Basic Pharmaceuticals and Their Products,340
International,2011,Basic Pharmaceuticals and Their Products,325
International,2012,Basic Pharmaceuticals and Their Products,315
International,2013,Basic Pharmaceuticals and Their Products,295
International,2014,Basic Pharmaceuticals and Their Products,395
International,2015,Basic Pharmaceuticals and Their Products,445
International,2016,Basic Pharmaceuticals and Their Products,395
International,2017,Basic Pharmaceuticals and Their Products,425
International,2018,Basic Pharmaceuticals and Their Products,415
International,2002,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2020
International,2003,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2070
International,2004,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2140
International,2005,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2260
International,2006,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2435
International,2007,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2630
International,2008,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",3075
International,2009,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2400
International,2010,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2635
International,2011,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",3395
International,2012,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2915
International,2013,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2830
International,2014,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2140
International,2015,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2605
International,2016,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",2760
International,2017,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",3845
International,2018,"Coke, Refined Petroleum Products, Chemicals and Chemical Products",4000
International,2002,"Computer, Electronic and Optical Products",5570
International,2003,"Computer, Electronic and Optical Products",4275
International,2004,"Computer, Electronic and Optical Products",3230
International,2005,"Computer, Electronic and Optical Products",2110
International,2006,"Computer, Electronic and Optical Products",1810
International,2007,"Computer, Electronic and Optical Products",1590
International,2008,"Computer, Electronic and Optical Products",1495
International,2009,"Computer, Electronic and Optical Products",1455
International,2010,"Computer, Electronic and Optical Products",1390
International,2011,"Computer, Electronic and Optical Products",1385
International,2012,"Computer, Electronic and Optical Products",1395
International,2013,"Computer, Electronic and Optical Products",1605
International,2014,"Computer, Electronic and Optical Products",1165
International,2015,"Computer, Electronic and Optical Products",1455
International,2016,"Computer, Electronic and Optical Products",1420
International,2017,"Computer, Electronic and Optical Products",1760
International,2018,"Computer, Electronic and Optical Products",1780
International,2002,Construction,75
International,2003,Construction,265
International,2004,Construction,180
International,2005,Construction,230
International,2006,Construction,180
International,2007,Construction,155
International,2008,Construction,185
International,2009,Construction,155
International,2010,Construction,115
International,2011,Construction,95
International,2012,Construction,95
International,2013,Construction,105
International,2014,Construction,145
International,2015,Construction,115
International,2016,Construction,145
International,2017,Construction,140
International,2018,Construction,150
International,2002,Education,170
International,2003,Education,255
International,2004,Education,255
International,2005,Education,280
International,2006,Education,305
International,2007,Education,280
International,2008,Education,335
International,2009,Education,405
International,2010,Education,445
International,2011,Education,520
International,2012,Education,570
International,2013,Education,635
International,2014,Education,705
International,2015,Education,750
International,2016,Education,790
International,2017,Education,780
International,2018,Education,805
International,2002,Electrical Equipment,565
International,2003,Electrical Equipment,475
