FeatureCode,DateCode,Measurement,Units,Value,Population Projection Variant,Age,Sex
S92000003,2042,Count,People,634804,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2032,Count,People,424972,EU migration 50%,Children (under 16 years),Male
S92000003,2032,Count,People,1676316,EU migration 50%,Working Age (16 - 64),Male
S92000003,2033,Count,People,401676,EU migration 50%,Children (under 16 years),Female
S92000003,2032,Count,People,601405,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2033,Count,People,1693968,EU migration 50%,Working Age (16 - 64),Female
S92000003,2033,Count,People,722522,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2033,Count,People,1671355,EU migration 50%,Working Age (16 - 64),Male
S92000003,2042,Count,People,391650,EU migration 50%,Children (under 16 years),Female
S92000003,2041,Count,People,412209,EU migration 50%,Children (under 16 years),Male
S92000003,2040,Count,People,1650582,EU migration 50%,Working Age (16 - 64),Male
S92000003,2040,Count,People,636719,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2041,Count,People,1650603,EU migration 50%,Working Age (16 - 64),Male
S92000003,2041,Count,People,636385,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2041,Count,People,1649728,EU migration 50%,Working Age (16 - 64),Female
S92000003,2043,Count,People,390430,EU migration 50%,50-54 years,All
S92000003,2043,Count,People,360451,EU migration 50%,55-59 years,All
S92000003,2043,Count,People,367187,EU migration 50%,45-49 years,All
S92000003,2043,Count,People,248837,EU migration 50%,5-9 years,All
S92000003,2043,Count,People,292996,EU migration 50%,65-69 years,All
S92000003,2043,Count,People,321761,EU migration 50%,70-74 years,All
S92000003,2043,Count,People,335852,EU migration 50%,60-64 years,All
S92000003,2043,Count,People,296059,EU migration 50%,20-24 years,All
S92000003,2043,Count,People,324013,EU migration 50%,25-29 years,All
S92000003,2043,Count,People,254857,EU migration 50%,10-14 years,All
S92000003,2043,Count,People,265649,EU migration 50%,15-19 years,All
S92000003,2043,Count,People,335086,EU migration 50%,35-39 years,All
S92000003,2043,Count,People,328820,EU migration 50%,40-44 years,All
S92000003,2043,Count,People,349015,EU migration 50%,30-34 years,All
S92000003,2038,Count,People,5512274,EU migration 50%,All,All
S92000003,2037,Count,People,5515109,EU migration 50%,All,All
S92000003,2040,Count,People,5505560,EU migration 50%,All,All
S92000003,2039,Count,People,5509072,EU migration 50%,All,All
S92000003,2035,Count,People,5519468,EU migration 50%,All,All
S92000003,2034,Count,People,5520848,EU migration 50%,All,All
S92000003,2036,Count,People,5517530,EU migration 50%,All,All
S92000003,2043,Count,People,143530,EU migration 50%,85-89 years,All
S92000003,2043,Count,People,83399,EU migration 50%,90 years and over,All
S92000003,2043,Count,People,308762,EU migration 50%,75-79 years,All
S92000003,2043,Count,People,240173,EU migration 50%,80-84 years,All
S92000003,2042,Count,People,5497605,EU migration 50%,All,All
S92000003,2041,Count,People,5501734,EU migration 50%,All,All
S92000003,2043,Count,People,5493101,EU migration 50%,All,All
S92000003,2042,Count,People,255949,EU migration 50%,10-14 years,All
S92000003,2042,Count,People,266551,EU migration 50%,15-19 years,All
S92000003,2041,Count,People,80409,EU migration 50%,90 years and over,All
S92000003,2042,Count,People,246016,EU migration 50%,0-4 years,All
S92000003,2042,Count,People,329615,EU migration 50%,25-29 years,All
S92000003,2042,Count,People,349988,EU migration 50%,30-34 years,All
S92000003,2042,Count,People,298044,EU migration 50%,20-24 years,All
S92000003,2041,Count,People,311121,EU migration 50%,65-69 years,All
S92000003,2041,Count,People,335892,EU migration 50%,70-74 years,All
S92000003,2041,Count,People,351619,EU migration 50%,55-59 years,All
S92000003,2041,Count,People,317001,EU migration 50%,60-64 years,All
S92000003,2041,Count,People,227357,EU migration 50%,80-84 years,All
S92000003,2041,Count,People,133886,EU migration 50%,85-89 years,All
S92000003,2041,Count,People,308200,EU migration 50%,75-79 years,All
S92000003,2042,Count,People,309387,EU migration 50%,75-79 years,All
S92000003,2042,Count,People,233731,EU migration 50%,80-84 years,All
S92000003,2042,Count,People,299586,EU migration 50%,65-69 years,All
S92000003,2042,Count,People,330390,EU migration 50%,70-74 years,All
S92000003,2042,Count,People,81634,EU migration 50%,90 years and over,All
S92000003,2043,Count,People,246224,EU migration 50%,0-4 years,All
S92000003,2042,Count,People,138636,EU migration 50%,85-89 years,All
S92000003,2042,Count,People,372399,EU migration 50%,45-49 years,All
S92000003,2042,Count,People,248904,EU migration 50%,5-9 years,All
S92000003,2042,Count,People,327311,EU migration 50%,35-39 years,All
S92000003,2042,Count,People,337532,EU migration 50%,40-44 years,All
S92000003,2042,Count,People,354432,EU migration 50%,55-59 years,All
S92000003,2042,Count,People,327309,EU migration 50%,60-64 years,All
S92000003,2042,Count,People,390191,EU migration 50%,50-54 years,All
S92000003,2029,Count,People,1726752,EU migration 50%,Working Age (16 - 64),Female
S92000003,2029,Count,People,677263,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2025,Count,People,1751881,EU migration 50%,Working Age (16 - 64),Female
S92000003,2029,Count,People,1690485,EU migration 50%,Working Age (16 - 64),Male
S92000003,2029,Count,People,436847,EU migration 50%,Children (under 16 years),Male
S92000003,2030,Count,People,432809,EU migration 50%,Children (under 16 years),Male
S92000003,2029,Count,People,570880,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2025,Count,People,1705469,EU migration 50%,Working Age (16 - 64),Male
S92000003,2025,Count,People,525813,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2024,Count,People,1707680,EU migration 50%,Working Age (16 - 64),Male
S92000003,2024,Count,People,515432,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2025,Count,People,432280,EU migration 50%,Children (under 16 years),Female
S92000003,2025,Count,People,455339,EU migration 50%,Children (under 16 years),Male
S92000003,2025,Count,People,628602,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2029,Count,People,414279,EU migration 50%,Children (under 16 years),Female
S92000003,2028,Count,People,441080,EU migration 50%,Children (under 16 years),Male
S92000003,2027,Count,People,1698817,EU migration 50%,Working Age (16 - 64),Male
S92000003,2027,Count,People,548273,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2028,Count,People,1694990,EU migration 50%,Working Age (16 - 64),Male
S92000003,2028,Count,People,559835,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2028,Count,People,1734465,EU migration 50%,Working Age (16 - 64),Female
S92000003,2030,Count,People,410676,EU migration 50%,Children (under 16 years),Female
S92000003,2030,Count,People,1718247,EU migration 50%,Working Age (16 - 64),Female
S92000003,2030,Count,People,1685030,EU migration 50%,Working Age (16 - 64),Male
S92000003,2030,Count,People,582264,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2028,Count,People,664470,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2028,Count,People,418443,EU migration 50%,Children (under 16 years),Female
S92000003,2030,Count,People,689913,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2024,Count,People,5493541,EU migration 50%,All,All
S92000003,2023,Count,People,5487187,EU migration 50%,All,All
S92000003,2026,Count,People,5504651,EU migration 50%,All,All
S92000003,2025,Count,People,5499384,EU migration 50%,All,All
S92000003,2021,Count,People,5472936,EU migration 50%,All,All
S92000003,2020,Count,People,5464679,EU migration 50%,All,All
S92000003,2022,Count,People,5480371,EU migration 50%,All,All
S92000003,2031,Count,People,5520613,EU migration 50%,All,All
S92000003,2030,Count,People,5518939,EU migration 50%,All,All
S92000003,2033,Count,People,5521540,EU migration 50%,All,All
S92000003,2032,Count,People,5521480,EU migration 50%,All,All
S92000003,2028,Count,People,5513283,EU migration 50%,All,All
S92000003,2027,Count,People,5509292,EU migration 50%,All,All
S92000003,2029,Count,People,5516506,EU migration 50%,All,All
S92000003,2027,Count,People,446084,EU migration 50%,Children (under 16 years),Male
S92000003,2027,Count,People,1741477,EU migration 50%,Working Age (16 - 64),Female
S92000003,2026,Count,People,639865,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2027,Count,People,651676,EU migration 50%,Pensionable Age (65 and over),Female
S92000003,2024,Count,People,459696,EU migration 50%,Children (under 16 years),Male
S92000003,2024,Count,People,1755524,EU migration 50%,Working Age (16 - 64),Female
S92000003,2027,Count,People,422965,EU migration 50%,Children (under 16 years),Female
S92000003,2026,Count,People,451628,EU migration 50%,Children (under 16 years),Male
S92000003,2026,Count,People,1701658,EU migration 50%,Working Age (16 - 64),Male
S92000003,2019,Count,People,5452444,EU migration 50%,All,All
S92000003,2018,Count,People,5438100,EU migration 50%,All,All
S92000003,2026,Count,People,428356,EU migration 50%,Children (under 16 years),Female
S92000003,2026,Count,People,1746348,EU migration 50%,Working Age (16 - 64),Female
S92000003,2026,Count,People,536796,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2031,Count,People,159542,EU migration 50%,50-54 years,Male
S92000003,2031,Count,People,159342,EU migration 50%,55-59 years,Male
S92000003,2033,Count,People,180527,EU migration 50%,35-39 years,Female
S92000003,2033,Count,People,163891,EU migration 50%,30-34 years,Male
S92000003,2031,Count,People,126331,EU migration 50%,5-9 years,Female
S92000003,2031,Count,People,167527,EU migration 50%,50-54 years,Female
S92000003,2031,Count,People,170966,EU migration 50%,55-59 years,Female
S92000003,2033,Count,People,185806,EU migration 50%,35-39 years,Male
S92000003,2033,Count,People,195136,EU migration 50%,40-44 years,Male
S92000003,2033,Count,People,149584,EU migration 50%,15-19 years,Male
S92000003,2033,Count,People,141026,EU migration 50%,15-19 years,Female
S92000003,2033,Count,People,159241,EU migration 50%,30-34 years,Female
S92000003,2033,Count,People,165985,EU migration 50%,25-29 years,Male
S92000003,2033,Count,People,198320,EU migration 50%,40-44 years,Female
S92000003,2031,Count,People,168448,EU migration 50%,30-34 years,Female
S92000003,2031,Count,People,167224,EU migration 50%,20-24 years,Female
S92000003,2031,Count,People,159289,EU migration 50%,25-29 years,Male
S92000003,2031,Count,People,174109,EU migration 50%,30-34 years,Male
S92000003,2031,Count,People,169721,EU migration 50%,20-24 years,Male
S92000003,2031,Count,People,191405,EU migration 50%,40-44 years,Male
S92000003,2031,Count,People,154028,EU migration 50%,25-29 years,Female
S92000003,2031,Count,People,149799,EU migration 50%,70-74 years,Male
S92000003,2031,Count,People,167974,EU migration 50%,70-74 years,Female
S92000003,2031,Count,People,132702,EU migration 50%,5-9 years,Male
S92000003,2031,Count,People,177829,EU migration 50%,65-69 years,Male
S92000003,2031,Count,People,196002,EU migration 50%,65-69 years,Female
S92000003,2031,Count,People,178469,EU migration 50%,60-64 years,Male
S92000003,2031,Count,People,196412,EU migration 50%,60-64 years,Female
S92000003,2032,Count,People,154045,EU migration 50%,55-59 years,Male
S92000003,2032,Count,People,174819,EU migration 50%,60-64 years,Male
S92000003,2032,Count,People,171919,EU migration 50%,70-74 years,Female
S92000003,2032,Count,People,177976,EU migration 50%,65-69 years,Male
S92000003,2033,Count,People,131838,EU migration 50%,5-9 years,Male
S92000003,2033,Count,People,168090,EU migration 50%,50-54 years,Male
S92000003,2032,Count,People,193378,EU migration 50%,60-64 years,Female
S92000003,2032,Count,People,163958,EU migration 50%,50-54 years,Male
S92000003,2032,Count,People,175644,EU migration 50%,45-49 years,Male
S92000003,2032,Count,People,173553,EU migration 50%,50-54 years,Female
S92000003,2032,Count,People,163751,EU migration 50%,55-59 years,Female
S92000003,2032,Count,People,125929,EU migration 50%,5-9 years,Female
S92000003,2032,Count,People,196466,EU migration 50%,65-69 years,Female
S92000003,2032,Count,People,132291,EU migration 50%,5-9 years,Male
S92000003,2033,Count,People,150381,EU migration 50%,55-59 years,Male
S92000003,2033,Count,People,167896,EU migration 50%,20-24 years,Female
S92000003,2033,Count,People,160152,EU migration 50%,55-59 years,Female
S92000003,2033,Count,People,187736,EU migration 50%,60-64 years,Female
S92000003,2033,Count,People,171107,EU migration 50%,20-24 years,Male
S92000003,2033,Count,People,135384,EU migration 50%,10-14 years,Male
S92000003,2033,Count,People,160470,EU migration 50%,25-29 years,Female
S92000003,2033,Count,People,125492,EU migration 50%,5-9 years,Female
S92000003,2033,Count,People,179086,EU migration 50%,45-49 years,Male
S92000003,2033,Count,People,178039,EU migration 50%,50-54 years,Female
S92000003,2033,Count,People,187214,EU migration 50%,45-49 years,Female
S92000003,2033,Count,People,176946,EU migration 50%,65-69 years,Male
S92000003,2033,Count,People,195879,EU migration 50%,65-69 years,Female
S92000003,2033,Count,People,170423,EU migration 50%,60-64 years,Male
S92000003,2025,Count,People,182455,EU migration 50%,40-44 years,Female
S92000003,2025,Count,People,187221,EU migration 50%,35-39 years,Male
S92000003,2025,Count,People,148582,EU migration 50%,15-19 years,Female
S92000003,2025,Count,People,190532,EU migration 50%,35-39 years,Female
S92000003,2025,Count,People,191236,EU migration 50%,30-34 years,Male
S92000003,2025,Count,People,191095,EU migration 50%,30-34 years,Female
S92000003,2025,Count,People,176688,EU migration 50%,25-29 years,Male
S92000003,2025,Count,People,151337,EU migration 50%,20-24 years,Female
S92000003,2025,Count,People,169732,EU migration 50%,25-29 years,Female
S92000003,2032,Count,People,127281,EU migration 50%,0-4 years,Male
S92000003,2032,Count,People,121239,EU migration 50%,0-4 years,Female
S92000003,2025,Count,People,154593,EU migration 50%,10-14 years,Male
S92000003,2025,Count,People,154157,EU migration 50%,15-19 years,Male
S92000003,2025,Count,People,154463,EU migration 50%,20-24 years,Male
S92000003,2024,Count,People,35945,EU migration 50%,85-89 years,Male
S92000003,2024,Count,People,16088,EU migration 50%,90 years and over,Male
S92000003,2025,Count,People,146710,EU migration 50%,10-14 years,Female
S92000003,2025,Count,People,130936,EU migration 50%,0-4 years,Male
S92000003,2025,Count,People,132315,EU migration 50%,75-79 years,Female
S92000003,2025,Count,People,87766,EU migration 50%,80-84 years,Female
S92000003,2024,Count,People,31815,EU migration 50%,90 years and over,Female
S92000003,2024,Count,People,65576,EU migration 50%,80-84 years,Male
S92000003,2024,Count,People,129844,EU migration 50%,70-74 years,Male
S92000003,2024,Count,People,86702,EU migration 50%,80-84 years,Female
S92000003,2024,Count,People,55499,EU migration 50%,85-89 years,Female
S92000003,2024,Count,People,129305,EU migration 50%,75-79 years,Female
S92000003,2025,Count,People,124737,EU migration 50%,0-4 years,Female
S92000003,2024,Count,People,110863,EU migration 50%,75-79 years,Male
S92000003,2032,Count,People,171456,EU migration 50%,20-24 years,Male
S92000003,2032,Count,People,168544,EU migration 50%,20-24 years,Female
S92000003,2032,Count,People,162159,EU migration 50%,25-29 years,Male
S92000003,2032,Count,People,152254,EU migration 50%,15-19 years,Male
S92000003,2032,Count,People,184656,EU migration 50%,45-49 years,Female
S92000003,2032,Count,People,195057,EU migration 50%,40-44 years,Male
S92000003,2032,Count,People,198312,EU migration 50%,40-44 years,Female
S92000003,2031,Count,People,188948,EU migration 50%,35-39 years,Female
S92000003,2031,Count,People,195123,EU migration 50%,40-44 years,Female
S92000003,2031,Count,People,173963,EU migration 50%,45-49 years,Male
S92000003,2031,Count,People,183618,EU migration 50%,45-49 years,Female
S92000003,2032,Count,People,156610,EU migration 50%,25-29 years,Female
S92000003,2032,Count,People,163356,EU migration 50%,30-34 years,Female
S92000003,2031,Count,People,190286,EU migration 50%,35-39 years,Male
S92000003,2032,Count,People,129678,EU migration 50%,10-14 years,Female
S92000003,2032,Count,People,143805,EU migration 50%,15-19 years,Female
S92000003,2031,Count,People,108970,EU migration 50%,80-84 years,Female
S92000003,2031,Count,People,112843,EU migration 50%,75-79 years,Male
S92000003,2031,Count,People,20062,EU migration 50%,90 years and over,Male
S92000003,2031,Count,People,35246,EU migration 50%,90 years and over,Female
S92000003,2032,Count,People,136392,EU migration 50%,10-14 years,Male
S92000003,2032,Count,People,184103,EU migration 50%,35-39 years,Female
S92000003,2031,Count,People,87723,EU migration 50%,80-84 years,Male
S92000003,2032,Count,People,168445,EU migration 50%,30-34 years,Male
S92000003,2032,Count,People,187487,EU migration 50%,35-39 years,Male
S92000003,2031,Count,People,61186,EU migration 50%,85-89 years,Female
S92000003,2031,Count,People,131680,EU migration 50%,75-79 years,Female
S92000003,2031,Count,People,43500,EU migration 50%,85-89 years,Male
S92000003,2031,Count,People,130900,EU migration 50%,10-14 years,Female
S92000003,2031,Count,People,127881,EU migration 50%,0-4 years,Male
S92000003,2031,Count,People,146620,EU migration 50%,15-19 years,Female
S92000003,2031,Count,People,121811,EU migration 50%,0-4 years,Female
S92000003,2030,Count,People,180531,EU migration 50%,60-64 years,Male
S92000003,2030,Count,People,197779,EU migration 50%,60-64 years,Female
S92000003,2030,Count,People,164597,EU migration 50%,55-59 years,Male
S92000003,2030,Count,People,107292,EU migration 50%,80-84 years,Female
S92000003,2030,Count,People,59638,EU migration 50%,85-89 years,Female
S92000003,2030,Count,People,19802,EU migration 50%,90 years and over,Male
S92000003,2030,Count,People,35086,EU migration 50%,90 years and over,Female
S92000003,2031,Count,People,138183,EU migration 50%,10-14 years,Male
S92000003,2031,Count,People,154951,EU migration 50%,15-19 years,Male
S92000003,2030,Count,People,86541,EU migration 50%,80-84 years,Male
S92000003,2029,Count,People,122970,EU migration 50%,0-4 years,Female
S92000003,2029,Count,People,135428,EU migration 50%,10-14 years,Female
S92000003,2030,Count,People,163889,EU migration 50%,70-74 years,Female
S92000003,2030,Count,People,177401,EU migration 50%,65-69 years,Male
S92000003,2028,Count,People,38717,EU migration 50%,85-89 years,Male
S92000003,2028,Count,People,18613,EU migration 50%,90 years and over,Male
S92000003,2029,Count,People,129096,EU migration 50%,0-4 years,Male
S92000003,2030,Count,People,156416,EU migration 50%,50-54 years,Male
S92000003,2030,Count,People,146261,EU migration 50%,70-74 years,Male
S92000003,2030,Count,People,164140,EU migration 50%,50-54 years,Female
S92000003,2030,Count,People,177930,EU migration 50%,55-59 years,Female
S92000003,2030,Count,People,129259,EU migration 50%,75-79 years,Female
S92000003,2030,Count,People,194749,EU migration 50%,65-69 years,Female
S92000003,2030,Count,People,110669,EU migration 50%,75-79 years,Male
S92000003,2030,Count,People,172291,EU migration 50%,45-49 years,Male
S92000003,2030,Count,People,133135,EU migration 50%,5-9 years,Male
S92000003,2030,Count,People,172170,EU migration 50%,30-34 years,Female
S92000003,2030,Count,People,158373,EU migration 50%,25-29 years,Male
S92000003,2030,Count,People,191671,EU migration 50%,40-44 years,Female
S92000003,2030,Count,People,182668,EU migration 50%,45-49 years,Female
S92000003,2030,Count,People,126745,EU migration 50%,5-9 years,Female
S92000003,2035,Count,People,398656,EU migration 50%,Children (under 16 years),Female
S92000003,2030,Count,People,178695,EU migration 50%,30-34 years,Male
S92000003,2035,Count,People,623221,EU migration 50%,Pensionable Age (65 and over),Male
S92000003,2035,Count,People,418815,EU migration 50%,Children (under 16 years),Male
S92000003,2030,Count,People,193434,EU migration 50%,35-39 years,Female
S92000003,2030,Count,People,153257,EU migration 50%,25-29 years,Female
S92000003,2030,Count,People,193246,EU migration 50%,35-39 years,Male
S92000003,2030,Count,People,164351,EU migration 50%,20-24 years,Female
S92000003,2030,Count,People,132895,EU migration 50%,10-14 years,Female
S92000003,2030,Count,People,157202,EU migration 50%,15-19 years,Male
S92000003,2030,Count,People,166524,EU migration 50%,20-24 years,Male
S92000003,2030,Count,People,140918,EU migration 50%,10-14 years,Male
S92000003,2030,Count,People,41590,EU migration 50%,85-89 years,Male
S92000003,2030,Count,People,149482,EU migration 50%,15-19 years,Female
S92000003,2030,Count,People,128501,EU migration 50%,0-4 years,Male
S92000003,2030,Count,People,122401,EU migration 50%,0-4 years,Female
S92000003,2030,Count,People,187410,EU migration 50%,40-44 years,Male
S92000003,2029,Count,People,19241,EU migration 50%,90 years and over,Male
S92000003,2029,Count,People,34611,EU migration 50%,90 years and over,Female
S92000003,2029,Count,People,40456,EU migration 50%,85-89 years,Male
S92000003,2029,Count,People,58783,EU migration 50%,85-89 years,Female
S92000003,2029,Count,People,133559,EU migration 50%,5-9 years,Male
S92000003,2029,Count,People,153785,EU migration 50%,50-54 years,Male
S92000003,2029,Count,People,181802,EU migration 50%,30-34 years,Male
S92000003,2029,Count,People,175805,EU migration 50%,30-34 years,Female
S92000003,2029,Count,People,180848,EU migration 50%,45-49 years,Female
S92000003,2029,Count,People,184138,EU migration 50%,40-44 years,Male
S92000003,2029,Count,People,161969,EU migration 50%,50-54 years,Female
S92000003,2029,Count,People,142447,EU migration 50%,70-74 years,Male
